,bank_name,loan_name,repayment_type,interest_rate_type,interest_rate_min,interest_rate_max,interest_rate_avg,loan_limit,max_loan_limit,max_apartment_price_limit,loan_additional_cost,early_repayment_fee,overdue_interest_rate,subscription_method,max_loan_duration,financial_sector,government_support_type,credit_1_interest,credit_2_interest,credit_3_interest,credit_4_interest,credit_5_interest
0,우리은행,우리아파트론,원리금균등상환,고정금리,4.45,5.65,4.17,LTV 30% ~70%,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
ㅇ 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율
ㅇ 주택신보출연료(신규 주택구입시에 한함) : 0.01~0.26%",ㅇ 중도상환수수료×1.4%×(3년-대출경과일수)÷3년(일수),적용금리+3% (최고연체이자율: 12%),"영업점,모집인",30.0,1.0,일반,4.45,4.75,5.050000000000000,5.3500000000000000,5.65
1,우리은행,우리WON주택대출,원리금균등상환,고정금리,3.81,4.98,4.4,최소 1억원 ~ 최대 10억원,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50%   ㅇ  대출금 5천만원 이하 : 면제
  ㅇ  대출금 5천만원 초과 ~ 1억원 이하 : 7만원 (각각 3만5천원)
  ㅇ  대출금 1억원 초과 ~ 10억원 이하 : 15만원 (각각 7만5천원)
  ㅇ  대출금 10억원 초과 : 35만원 (각각 17만5천원)
ㅇ 국민주택채권 매입비용
ㅇ 대출금 상환으로 인한 채권최고액 감액 또는 근저당권 말소비용","ㅇ 중도상환 대출금액 x 중도상환해약금 요율(주1) x 잔존기간(주2) ÷ 대출기간(주3)   ㅇ - (주1) 중도상환해약금 요율 : 고정금리(1.4%)
  ㅇ - (주2) 잔존기간 : 중도상환 당일부터 대출기간 만료일 전일까지의 일 수
  ㅇ - (주3) 대출기간 : 대출기간이 3년을 초과시 3년째 되는 날을 대출기간 만료일로 간주
ㅇ * 단, 최초 취급일 기준으로 연마다 대출원금의 10%범위 내에서 중도상환해약금 부담없이 자유롭게 상환 가능합니다.
ㅇ * 대출 취급일로부터 3년 이상 경과하였거나, 대출 만기일이 3개월 이내인 경우 면제됩니다.",적용금리+3% (최고연체이자율: 12%),모바일,40.0,1.0,일반,3.81,4.1025,4.3950000000000000,4.6875,4.98
2,SC제일은행,주택담보대출,원리금균등상환,고정금리,4.88,5.53,4.04,LTV 80%,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50% (대출금액 5천만원 이하 시 없음)
ㅇ 국민주택채권 매입 : 대출금액 * 110% * 1% * 채권할인율
ㅇ 화재보험료 : 아파트 및 주거용 오피스텔 외 물건지에 한함","ㅇ 조기상환수수료×1.2%×(3년-대출경과일수)÷3년(일수) ㅇ 매년 대출잔액의 10% 까지 중도상환수수료 면제",적용금리+3% (최고연체이자율: 15%),영업점,50.0,1.0,일반,4.88,5.0425,5.205,5.3675,5.53
3,IM뱅크,장기모기지론(구입),원리금균등상환,고정금리,4.51,5.61,3.6,LTV 70%,100000000000,100000000000,"ㅇ 인지세:해당세액의 50%
ㅇ 국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",ㅇ 중도상환수수료×1.3%×(3년-대출경과일수)÷3년(일수),적용금리+3% (최고연체이자율: 15%),"영업점,모집인",50.0,1.0,일반,4.51,4.785,5.0600000000000000,5.335,5.61
4,IM뱅크,HYBRID 모기지론(구입),원리금균등상환,고정금리,4.21,5.31,3.38,LTV 70%,100000000000,100000000000,"ㅇ 인지세:해당세액의 50%
ㅇ 국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",ㅇ 중도상환수수료×1.5%×(3년-대출경과일수)÷3년(일수),적용금리+3% (최고연체이자율: 15%),"영업점,모집인",50.0,1.0,일반,4.21,4.485000000000000,4.76,5.035,5.31
5,IM뱅크,IM주택담보대출(구입),원리금균등상환,고정금리,4.41,5.31,3.5,LTV 70%,100000000000,100000000000,"ㅇ 인지세:해당세액의 50%
ㅇ 국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",ㅇ 중도상환수수료×1.5%×(3년-대출경과일수)÷3년(일수),적용금리+3% (최고연체이자율: 15%),스마트폰,50.0,1.0,일반,4.41,4.635,4.860000000000000,5.085,5.31
6,BNK부산은행,BNK행복스케치 모기지론,원리금균등상환,고정금리,4.96,5.56,4.37,LTV 80%,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권 매입비용 : 
  ㅇ  대출금액 X 110 ~ 120% X 1% X 채권할인율","ㅇ 중도상환금액 X 1.30% X (대출잔여일수 ÷ 대출기간*)
ㅇ *대출기간이 3년을 초과하는 경우 3년",적용금리+3% (최고연체이자율: 15%),"영업점,인터넷,스마트폰,모집인",50.0,1.0,일반,4.96,5.110000000000000,5.26,5.41,5.56
7,BNK부산은행,BNK357금리안심모기지론,원리금균등상환,고정금리,4.26,4.76,4.37,LTV 80%,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권 매입비용 : 
  ㅇ  대출금액 X 110 ~ 120% X 1% X 채권할인율","ㅇ 중도상환금액 X 1.50% X (대출잔여일수 ÷ 대출기간*)
ㅇ *대출기간이 3년을 초과하는 경우 3년",적용금리+3% (최고연체이자율: 15%),"영업점,인터넷,스마트폰,모집인",50.0,1.0,일반,4.26,4.385,4.51,4.635,4.76
8,BNK부산은행,BNK금리상한 모기지론,원리금균등상환,고정금리,4.21,5.51,4.37,LTV 80%,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권 매입비용 : 
  ㅇ  대출금액 X 110 ~ 120% X 1% X 채권할인율","ㅇ 중도상환금액 X 1.30% X (대출잔여일수 ÷ 대출기간*)
ㅇ *대출기간이 3년을 초과하는 경우 3년",적용금리+3% (최고연체이자율: 15%),"영업점,인터넷,스마트폰,모집인",50.0,1.0,일반,4.21,4.535,4.860000000000000,5.185,5.51
9,광주은행,광주은행아파트담보대출,원리금균등상환,고정금리,4.97,5.97,4.64,LTV 70%,100000000000,100000000000,"ㅇ 인지세 : 50%                                     ㅇ 근저당권 설정비 중 고객 부담 항목 - 주택채권 매입비용 등","ㅇ 중도상환금액 × 중도상환수수료율 × (대출잔여일수 ÷ 대출기간)                               ㅇ ※ 고정금리대출 : 1.5%",적용금리+3% (최고연체이자율: 15%),영업점,50.0,1.0,일반,4.97,5.22,5.47,5.72,5.97
10,광주은행,KJB모바일 주택담보대출,원리금균등상환,고정금리,4.18,5.18,3.95,LTV 70%,100000000000,100000000000,"ㅇ 인지세 : 50%                                     ㅇ 근저당권 설정비 중 고객 부담 항목 - 주택채권 매입비용 등","ㅇ 중도상환금액 × 중도상환수수료율 × (대출잔여일수 ÷ 대출기간)                               ㅇ ※ 고정금리대출 : 1.5%",적용금리+3% (최고연체이자율: 15%),스마트폰,50.0,1.0,일반,4.18,4.43,4.68,4.93,5.18
11,제주은행,금리safe모기지론,원리금균등상환,고정금리,4.61,5.61,4.37,LTV 70% 이내,100000000000,100000000000,"ㅇ 인지세 50%
ㅇ 주택채권매입비용","ㅇ 중도상환금액×1.3%×대출잔여일수/대출기간
ㅇ 3년경과시 면제",적용금리+3% (최고연체이자율: 15%),영업점,50.0,1.0,일반,4.61,4.86,5.11,5.36,5.61
12,제주은행,제주홈대출,원리금균등상환,고정금리,4.69,5.69,4.85,LTV 70% 이내,100000000000,100000000000,"ㅇ 인지세 50%
ㅇ주택채권매입비용","ㅇ 중도상환금액×1.3%×대출잔여일수/대출기간
ㅇ 3년경과시 면제",적용금리+3% (최고연체이자율: 15%),영업점,50.0,1.0,일반,4.69,4.94,5.19,5.44,5.69
13,제주은행,제주장기모기지론,원리금균등상환,고정금리,5.33,6.33,3.96,LTV 70% 이내,100000000000,100000000000,"ㅇ 인지세 50%
ㅇ 주택채권매입비용","ㅇ 중도상환금액×1.3%×대출잔여일수/대출기간
ㅇ 3년경과시 면제",적용금리+3% (최고연체이자율: 15%),영업점,50.0,1.0,일반,5.33,5.58,5.83,6.08,6.33
14,전북은행,JB해피홈론,원리금균등상환,고정금리,3.66,5.96,3.72,LTV 70%,100000000000,100000000000,"ㅇ 인지세:50%
ㅇ 주택채권매입:대출금액×120%×1%×할인율
ㅇ 화재보험료(아파트외)
ㅇ 주택신보출연료(주택구입)","ㅇ 상환금액×수수료율(잔여일 1년미만 0.8%, 1년초과 1.8%)×대출잔여일수÷대출기간(최장 3년)",적용금리+3% (최고연체이자율: 15%),"영업점,모집인",50.0,1.0,일반,3.66,4.235,4.8100000000000000,5.385,5.96
15,전북은행,BEST고정금리모기지론,원리금균등상환,고정금리,5.06,5.86,4.37,LTV 70%,100000000000,100000000000,"ㅇ 인지세:50%
ㅇ 주택채권매입:대출금액×120%×1%×할인율
ㅇ 화재보험료(아파트외)
ㅇ 주택신보출연료(주택구입)","ㅇ 상환금액×수수료율(잔여일 1년미만 0.8%, 1년초과 1.8%)×대출잔여일수÷대출기간(최장 3년)",적용금리+3% (최고연체이자율: 15%),"영업점,모집인",50.0,1.0,일반,5.06,5.26,5.46,5.66,5.86
16,전북은행,JB우리집대출,원리금균등상환,고정금리,3.66,5.96,3.76,LTV 70%,100000000000,100000000000,"ㅇ 인지세:50%
ㅇ 주택채권매입:대출금액×120%×1%×할인율
ㅇ 화재보험료(아파트외)
ㅇ 주택신보출연료(주택구입)","ㅇ 상환금액×수수료율(잔여일 1년미만 0.8%, 1년초과 1.8%)×대출잔여일수÷대출기간(최장 3년)",적용금리+3% (최고연체이자율: 15%),"영업점,스마트폰",50.0,1.0,일반,3.66,4.235,4.8100000000000000,5.385,5.96
17,BNK경남은행,집집마다 도움대출II,원리금균등상환,고정금리,4.14,5.95,3.99,LTV 80% 이내,100000000000,100000000000,"ㅇ 인지세: 대출금액 구간별 해당 세액의 50%
  ㅇ [대출금 5천만원 미만시 면제]
ㅇ 국민주택채권매입비: 대출금 X 110% X 1% X 채권할인율
ㅇ 주택신보출연료(주택자금용도)","ㅇ 중도상환대출금 X 0.5~1.5% X (대출 잔여기간 / 대출 기간)
ㅇ [취급후1년이내 1.5%, 취급후 2년이내 1%, 취급후 3년이내 0.5%, 단, 취급후 3년 경과시 면제, 최초 취급액의 10% 이내 면제]",적용금리+3%,"영업점,모집인",50.0,1.0,일반,4.14,4.592500000000000,5.045,5.4975000000000000,5.95
18,BNK경남은행,BNK모바일주택담보대출,원리금균등상환,고정금리,4.34,5.94,3.69,LTV 70%,100000000000,100000000000,"ㅇ 인지세: 대출금액 구간별 해당 세액의 50%
  ㅇ [대출금 5천만원 미만시 면제]
ㅇ 국민주택채권매입비: 대출금 X 110% X 1% X 채권할인율
ㅇ 주택신보출연료(주택자금용도)","ㅇ 중도상환대출금 X 1% X (대출 잔여기간/대출 기간)
ㅇ [단, 취급후3년 경과시 면제, 단, 최초 취급액의 10% 이내 면제]",적용금리+3%,"영업점,모집인",50.0,1.0,일반,4.34,4.74,5.140000000000000,5.54,5.94
19,IBK기업은행,IBK주택담보대출,원리금균등상환,고정금리,4.84,4.94,4.5,LTV 70%,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권 매입비용 : 대출금액 x 120% x 1% x 채권할인률
ㅇ 화재보험료(아파트외 물건지에 한함)","ㅇ 중도상환금액 x 수수료율* x (대출잔여일수 ÷ 대출기간)
ㅇ ※ 고정금리 1.2%",적용금리+3% (최고연체이자율: 11%),"영업점,모집인",40.0,1.0,일반,4.84,4.865,4.890000000000000,4.915,4.94
20,KDB산업은행,"산은 주택대출
(생활자금)",원리금균등상환,고정금리,4.27,5.07,4.37,LTV 70%,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권 매입비용 ㅇ ※ 구입자금 취급중단, 기존 주택담보대출 고객에 대한 추가 생활자금대출만 취급","ㅇ 중도상환금액 × 중도상환수수료율* × (대출잔여일수 ÷ 대출기간** )
ㅇ ※ 고정금리 1.2%
ㅇ ※ 대출기간이 3년을 초과하는 경우 3년",적용금리+3% (최고연체이자율: 15%),기타,50.0,1.0,일반,4.27,4.47,4.67,4.87,5.07
21,국민은행,"KB주택담보대출변동
(일반자금)",원리금균등상환,고정금리,4.78,5.68,5.03,LTV 70%,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율
ㅇ 화재보험료 (아파트 외 물건지에 한함)",ㅇ 중도상환금액 × 1.2% × (대출잔여일수 ÷ 3년),적용금리+3% (최고연체이자율: 15%),"영업점,모집인",40.0,1.0,일반,4.78,5.005,5.23,5.455,5.68
22,국민은행,KB스타 아파트담보대출 혼합금리(주택자금),원리금균등상환,고정금리,4.23,4.23,3.85,LTV 70%,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율
ㅇ 화재보험료 (아파트 외 물건지에 한함)",ㅇ 중도상환금액 × 1.4% × (대출잔여일수 ÷ 3년),적용금리+3% (최고연체이자율: 15%),"영업점,모집인",40.0,1.0,일반,4.23,4.23,4.23,4.23,4.23
23,신한은행,신한주택대출(아파트),원리금균등상환,고정금리,4.24,5.04,4.35,TV 40% 이내,100000000000,100000000000,"ㅇ 인지세: 해당세액의 50%(대출금액 5천만원 이하시 없음)
ㅇ 국민주택채권매입: 대출금액*120%*1%*채권할인율","ㅇ 중도상환해약금:중도상환대출금*중도상환해약금률(고정금리1.4%, 변동금리1.2%)*(대출잔여일수/대출기간)",적용금리+3% (최고연체이자율: 15%),"영업점,모집인",40.0,1.0,일반,4.24,4.44,4.640000000000000,4.84,5.04
24,NH농협은행,NH주택담보대출,원리금균등상환,고정금리,4.15,6.35,4.37,LTV 70% 이내,100000000000,100000000000,"ㅇ 인지세
  ㅇ  해당 세액의 50%
ㅇ 국민주택채권매입비용
  ㅇ  근저당권 설정금액 × 10 ÷ 1,000
ㅇ 주택신보출연료","ㅇ 중도상환원금 × 적용요율 × (대출기간 - 경과일수) ÷ 대출기간
ㅇ - 대출기간 : 3년을 초과하는 경우 3년
ㅇ - 적용요율 : 고정금리 1.4%","적용금리+3% (최고연체이자율: 15%, 연체기간 관계없음)",영업점,40.0,1.0,일반,4.15,4.7,5.25,5.8,6.35
25,NH농협은행,채움고정금리모기지론,원리금균등상환,고정금리,4.2,5.9,5.04,LTV 70% 이내,100000000000,100000000000,"ㅇ 인지세
  ㅇ  해당 세액의 50%
ㅇ 국민주택채권매입비용
  ㅇ  근저당권 설정금액 × 10 ÷ 1,000
ㅇ 주택신보출연료","ㅇ 중도상환원금 × 적용요율 × (대출기간 - 경과일수) ÷ 대출기간
ㅇ - 대출기간 : 3년을 초과하는 경우 3년
ㅇ - 적용요율 : 고정금리 1.4%","적용금리+3% (최고연체이자율: 15%, 연체기간 관계없음)",영업점,40.0,1.0,일반,4.2,4.625,5.050000000000000,5.4750000000000000,5.9
26,하나은행,하나원큐 아파트론,원리금균등상환,고정금리,3.79,4.19,3.87,담보별 가용가 범위내,100000000000,100000000000,"ㅇ 인지세 : 50%
ㅇ 근저당 설정비 중 고객부담 항목
   ㅇ  주택채권매입비용 등","ㅇ 중도상환금액 × 중도상환해약금률* × ( 대출잔여일수 ÷ 대출기간** )
ㅇ * 고정금리 1.4%(단 비거치식 분할상환방식은  고정금리 1.3%)
ㅇ ** 대출약정일로부터 최장 3년",적용금리+3% (최고연체이자율: 15%),스마트폰,50.0,1.0,일반,3.79,3.89,3.99,4.09,4.19
27,케이뱅크,아파트담보대출(구입),원리금균등상환,고정금리,4.05,4.05,3.93,LTV 70% 이내 (최대 10억원),100000000000,100000000000,"ㅇ 인지세 - 해당세액의 50%
ㅇ 근저당권 설정비 중 고객 부담 항목 
   ㅇ  주택채권 매입비용 등","ㅇ 중도상환금액*해약금요율(1.40%)*(3년-대출실행 후 경과기간)/3년, 대출 실행 3년 이후 면제","적용금리+3% (최고연체이자율: 15% 단, 대출이자가 연 15% 이상일 경우 연체이자 연 2%를 가산)",스마트폰,40.0,1.0,일반,4.05,4.05,4.05,4.05,4.05
28,SH수협은행,SH으뜸모기지론,원리금균등상환,고정금리,4.6,6.23,4.58,LTV 70% 이내,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권 매입비용 : 대출금액 X  120% X 1% X 채권할인율
ㅇ 화재보험료 (아파트외 물건지에 한함)","ㅇ 중도상환금액 X 수수료율* X (대출잔여일수 / 대출기간**)
ㅇ * 1.4%
ㅇ ** 대출기간이 3년을 초과하는 경우 3년",적용금리+3%,"영업점,모집인",50.0,1.0,일반,4.6,5.0075,5.415,5.8225,6.23
29,카카오뱅크,주택담보대출2,원리금균등상환,고정금리,4.15,4.8,4.3,최대 10억원,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
ㅇ 국민주택채권 본인부담금 : 대출금액×110%×1%×채권할인율","ㅇ 중도상환금액 X 수수료율* X (대출잔여일수 / 대출기간**)
ㅇ * 1.4%
ㅇ ** 대출기간이 3년을 초과하는 경우 3년",적용금리+3% (최고연체이자율: 15%),스마트폰,40.0,1.0,일반,4.15,4.3125,4.475,4.6375,4.8
30,스타저축은행,6개월 변동금리 - APT론,원리금균등상환,고정금리,6.1,10.2,8.15,LTV 70%,100000000000,100000000000,ㅇ 설정비 면제(국민주택 채권매입비 고객부담),"ㅇ 중도상환금액 X 수수료율* X (대출잔여일수 / 대출기간**)
ㅇ * 1.4%
ㅇ ** 대출기간이 3년을 초과하는 경우 3년",적용금리+3% (최고연체이자율: 15%),스마트폰,30.0,1.0,일반,6.1,7.125,8.150000000000000,9.175000000000000,10.2
31,애큐온저축은행,APT대출(가계),원리금균등상환,고정금리,7.4,10.8,9.1,TV 40% 이내,100000000000,100000000000,ㅇ 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음),"ㅇ 중도상환금액 X 수수료율* X (대출잔여일수 / 대출기간**)
ㅇ * 1.4%
ㅇ ** 대출기간이 3년을 초과하는 경우 3년",적용금리+3% (최고연체이자율: 15%),스마트폰,30.0,1.0,일반,7.4,8.25,9.100000000000000,9.950000000000000,10.8
32,현대해상,HEART아파트론,원리금균등상환,고정금리,5.81,8.56,7.0,LTV 70% 이내,100000000000,100000000000,"ㅇ 인지세 50%
ㅇ 국민주택채권매입비용",ㅇ중도상환금액 × 1.5% × 대출잔여일수 ÷ 3년,적용금리+3% (최고연체이자율: 18%),스마트폰,30.0,2.0,일반,5.81,6.4975,7.1850000000000000,7.8725000000000000,8.56
33,교보생명,교보NEW프라임모기지론2,원리금균등상환,고정금리,5.58,6.98,6.28,LTV 70% 이내,100000000000,100000000000,"ㅇ 인지세 
ㅇ 4천만원 이하: 없음
ㅇ 4천초과 ~ 5천이하: 4만 × 50% = 2만
ㅇ 5천초과 ~ 1억이하: 7만 × 50% = 3.5만
ㅇ 1억초과 ~ 10억이하: 15만 × 50% = 7.5만
ㅇ  10억초과: 35만 × 50% = 17.5만",ㅇ중도상환금액 × 중도상환수수료율 × (잔존일수 ÷ 중도상환수수료부과일수),적용금리+3% (최고연체이자율: 11%),영업점,30.0,2.0,일반,5.58,5.93,6.28,6.630000000000000,6.98
34,교보생명,교보더블찬스모기지보험대출,원리금균등상환,고정금리,6.08,7.4,6.74,LTV 70% 이내,100000000000,100000000000,"ㅇ 인지세 
ㅇ  4천만원 이하: 없음
ㅇ  4천초과 ~ 5천이하: 4만 × 50% = 2만
ㅇ  5천초과 ~ 1억이하: 7만 × 50% = 3.5만
ㅇ  1억초과 ~ 10억이하: 15만 × 50% = 7.5만
ㅇ  10억초과: 35만 × 50% = 17.5만",ㅇ중도상환금액 × 중도상환수수료율 × (잔존일수 ÷ 중도상환수수료부과일수),적용금리+3% (최고연체이자율: 11%),영업점,30.0,2.0,일반,6.08,6.41,6.74,7.07,7.4
35,교보생명,교보프라임Hybrid모기지론2,원리금균등상환,고정금리,5.87,7.27,6.57,LTV 70% 이내,100000000000,100000000000,"ㅇ 인지세 
ㅇ  4천만원 이하: 없음
ㅇ  4천초과 ~ 5천이하: 4만 × 50% = 2만
ㅇ  5천초과 ~ 1억이하: 7만 × 50% = 3.5만
ㅇ  1억초과 ~ 10억이하: 15만 × 50% = 7.5만
ㅇ  10억초과: 35만 × 50% = 17.5만",ㅇ중도상환금액 × 중도상환수수료율 × (잔존일수 ÷ 중도상환수수료부과일수),적용금리+3% (최고연체이자율: 11%),영업점,30.0,2.0,일반,5.87,6.22,6.57,6.92,7.27
36,교보생명,교보프라임장기고정금리모기지론,원리금균등상환,고정금리,5.9,7.3,6.6,LTV 70% 이내,100000000000,100000000000,"ㅇ 인지세 
ㅇ  4천만원 이하: 없음
ㅇ  4천초과 ~ 5천이하: 4만 × 50% = 2만
ㅇ  5천초과 ~ 1억이하: 7만 × 50% = 3.5만
ㅇ  1억초과 ~ 10억이하: 15만 × 50% = 7.5만
ㅇ  10억초과: 35만 × 50% = 17.5만",ㅇ중도상환금액 × 중도상환수수료율 × (잔존일수 ÷ 중도상환수수료부과일수),적용금리+3% (최고연체이자율: 11%),영업점,30.0,2.0,일반,5.9,6.25,6.6,6.95,7.3
37,대신저축은행,대신홈론,원리금균등상환,고정금리,8.78,10.34,9.56,LTV 70% 이내,100000000000,100000000000,"ㅇ 인지세 : 대출금 5천만원까지는 수입인지 비용이 없으며, 5천만원 초과시 대출금액별로 차등 부과
ㅇ 국민주택채권 매입비용ㅇ 화재보험료","ㅇ 중도상환금액 X 수수료율* X (대출잔여일수 / 대출기간**)
ㅇ * 1.4%
ㅇ ** 대출기간이 3년을 초과하는 경우 3년",적용금리+3%,기타,30.0,2.0,일반,8.78,9.17,9.560000000000000,9.95,10.34
38,다올저축은행,더드림아파트 선순위(개인),원리금균등상환,고정금리,7.85,11.0,9.43,LTV 70%,100000000000,100000000000,"ㅇ 인지세: 대출금액 구간별 인지세(5천만원이하 시 면제), 5천만원 초과 시 채무자와 채권자 50%씩 부담
ㅇ 주택채권매입비용 등 근저당설정금액","ㅇ중도상환금액×2%×대출잔여일수/대출약정기간
 ㅇ- 대출취급일로부터 36개월미만 :  2%
 ㅇ- 대출취급일로부터 36개월이상 : 면제",적용금리+3% (최고연체이자율: 18%),영업점,30.0,2.0,일반,7.85,8.6375,9.425,10.2125,11.0
39,흥국생명,딴딴한MI론,원리금균등상환,고정금리,6.42,7.12,6.77,LTV 70% 이내,100000000000,100000000000,"ㅇ 국민주택채권매입비 ㅇ 인지세(50%)",ㅇ중도상환금액 X 2% X 대출잔여일수/1095,적용금리+3% (최고연체이자율: 12%),"영업점,인터넷,스마트폰,모집인",30.0,2.0,일반,6.42,6.595,6.77,6.945,7.12
40,흥국생명,딴딴한모기지,원리금균등상환,고정금리,5.92,6.62,6.27,LTV 70% 이내,100000000000,100000000000,"ㅇ 국민주택채권매입비 ㅇ 인지세(50%)",ㅇ중도상환금액 X 1.5% X 대출잔여일수/1095,적용금리+3% (최고연체이자율: 12%),"영업점,인터넷,스마트폰,모집인",30.0,2.0,일반,5.92,6.095,6.27,6.445,6.62
41,흥국생명,딴딴한주택론,원리금균등상환,고정금리,5.92,6.62,6.27,LTV 70% 이내,100000000000,100000000000,"ㅇ 국민주택채권매입비 ㅇ 인지세(50%)",ㅇ중도상환금액 X 2% X 대출잔여일수/1095,적용금리+3% (최고연체이자율: 12%),"영업점,인터넷,스마트폰,모집인",30.0,2.0,일반,5.92,6.095,6.27,6.445,6.62
42,대백저축은행,마이홈주택자금대출,원리금균등상환,고정금리,8.0,12.0,10.0,LTV 70%,100000000000,100000000000,ㅇ 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음),"ㅇ중도상환금액 X 수수료율* X (대출잔여일수 / 대출기간**)
ㅇ* 1.4%
ㅇ** 대출기간이 3년을 초과하는 경우 3년",적용금리+3% (최고연체이자율: 12%),"영업점,인터넷,스마트폰,모집인",30.0,2.0,일반,8.0,9.0,10.0,11.0,12.0
43,신안저축은행,부동산(중도금)대출,원리금균등상환,고정금리,7.5,12.0,9.75,LTV 70%,100000000000,100000000000,ㅇ 인지세(차주 발생비용의 절반 부담),"ㅇ중도상환금액 X 수수료율* X (대출잔여일수 / 대출기간**)
ㅇ* 1.4%
ㅇ** 대출기간이 3년을 초과하는 경우 3년",적용금리+3% (최고연체이자율: 18%),영업점,30.0,2.0,일반,7.5,8.625,9.75,10.875,12.0
44,KB손해보험,부동산담보(KB손보희망모기지론),원리금균등상환,고정금리,5.84,7.44,6.64,LTV 70% 이내,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권매입 : 대출금액 × 120% × 1% × 채권할인율","ㅇ중도상환원금 × 1.5% × 잔여중도수수료약정기간 ÷ 3년
ㅇ(50% 감면옵션 선택가능)",적용금리+3% (최고연체이자율: 11%),"영업점,인터넷,스마트폰,모집인",30.0,2.0,일반,5.84,6.24,6.640000000000000,7.04,7.44
