,bank_name,loan_name,repayment_type,interest_rate_type,interest_rate_min,interest_rate_max,interest_rate_avg,loan_limit,max_loan_limit,max_apartment_price_limit,loan_additional_cost,early_repayment_fee,overdue_interest_rate,subscription_method,max_loan_duration,financial_sector,government_support_type,credit_1_interest,credit_2_interest,credit_3_interest,credit_4_interest,credit_5_interest
45,강원저축은행,부동산담보대출,원리금균등상환,고정금리,7.2,13.0,10.1,LTV 70%,100000000000,100000000000,"ㅇ 인지세1/2 ㅇ 채권료, 말소, 변경, 확인서면","ㅇ중도상환원금 × 1.5% × 잔여중도수수료약정기간 ÷ 3년
ㅇ(50% 감면옵션 선택가능)",적용금리+3% (최고연체이자율: 18%),"영업점,인터넷,스마트폰,모집인",30.0,2.0,일반,7.2,8.65,10.1,11.55,13.0
46,JT친애저축은행,부동산담보대출,원리금균등상환,고정금리,7.5,10.3,8.9,LTV 70%,100000000000,100000000000,"ㅇ 인지세 : 해당세액 × 50% (대출금액 5천만원 이하시 없음)  
ㅇ 국민주택채권 매입 : 대출금액 × 130% × 1% × 채권할인율ㅇ 화재보험료",ㅇ중도상환금액x수수료율(2%)x대출잔여일수/대출기간,적용금리+3%,스마트폰,30.0,2.0,일반,7.5,8.2,8.9,9.600000000000000,10.3
47,세람저축은행,부동산담보대출,원리금균등상환,고정금리,8.0,14.0,11.0,LTV 70% 이내 (최대 10억원),100000000000,100000000000,"ㅇ 인지세1/2 ㅇ 채권료, 말소, 변경, 확인서면",ㅇ중도상환금액x수수료율(2%)x대출잔여일수/대출기간,적용금리+3% (최고연체이자율: 18%),"영업점,스마트폰",30.0,2.0,일반,8.0,9.5,11.0,12.5,14.0
48,예가람저축은행,부동산담보대출,원리금균등상환,고정금리,8.4,11.8,10.1,최대 8억원,100000000000,100000000000,"ㅇ 인지세1/2 ㅇ 채권료, 말소, 변경, 확인서면",ㅇ중도상환금액x수수료율(2%)x대출잔여일수/대출기간,적용금리+3% (최고연체이자율: 15%),영업점,30.0,2.0,일반,8.4,9.25,10.100000000000000,10.950000000000000,11.8
49,영진저축은행,부동산담보대출,원리금균등상환,고정금리,10.5,12.0,11.25,LTV 70% 이내,100000000000,100000000000,"ㅇ 인지세1/2 ㅇ 채권료, 말소, 변경, 확인서면",ㅇ중도상환금액x수수료율(2%)x대출잔여일수/대출기간,적용금리+3% (최고연체이자율: 18%),영업점,30.0,2.0,일반,10.5,10.875,11.25,11.625,12.0
50,고려저축은행,부동산담보대출,원리금균등상환,고정금리,8.2,13.0,10.6,LTV 70%,100000000000,100000000000,"ㅇ 대출금 5천만원까지는 수입인지 비용이 없으며, 5천만원 초과시 대출금액별 수입인지 비용 차등 부과
ㅇ 채권할인료, 말소비용",ㅇ중도상환금액×2%×(대출잔여일수÷대출기간 총일수),적용금리+3% (최고연체이자율: 20%),영업점,30.0,2.0,일반,8.2,9.400000000000000,10.6,11.8,13.0
51,KB저축은행,부동산담보대출(주택담보대출),원리금균등상환,고정금리,9.4,19.0,14.2,LTV 70%,100000000000,100000000000,"ㅇ 인지세: 고객과 저축은행이 각 50%씩 부담하며, 인지세법상 인지세 부과기준을 따름ㅇ 근저당권 관련 비용: 국민주택채권매입비, 등록세, 지방교육세 등",ㅇ기한전 상환대출금 X 기한전 상환수수료율(2%) X 대출잔여일수 / 대출약정기간,적용금리+3% (최고연체이자율: 11%),영업점,30.0,2.0,일반,9.4,11.8,14.2,16.6,19.0
52,삼성화재,삼성아파트,원리금균등상환,고정금리,5.49,7.4,6.44,LTV 70% 이내,100000000000,100000000000,"ㅇ 인지세(50%)
ㅇ 주택채권매입비","ㅇ1.4% 또는 1.5%
ㅇ중도상환금액×수수료율×잔여부과일/총부과일",적용금리+3% (최고연체이자율: 11%),영업점,30.0,2.0,일반,5.49,5.9675,6.445,6.9225,7.4
53,삼성화재,삼성아파트마이너스,원리금균등상환,고정금리,6.49,6.58,6.54,LTV 70% 이내,100000000000,100000000000,ㅇ 인지세(50%),"ㅇ1.4% 또는 1.5%
ㅇ중도상환금액×수수료율×잔여부과일/총부과일",적용금리+3% (최고연체이자율: 11%),영업점,30.0,2.0,일반,6.49,6.5125,6.535,6.5575,6.58
54,NH저축은행,순수일반담보(APT),원리금균등상환,고정금리,8.5,12.5,10.5,LTV 70% 이내,100000000000,100000000000,ㅇ 인지세 : 해당세액 × 50% (대출금액 5천만원 이하시 없음),"ㅇ1.4% 또는 1.5%
ㅇ중도상환금액×수수료율×잔여부과일/총부과일",적용금리+3% (최고연체이자율: 18%),스마트폰,30.0,2.0,일반,8.5,9.5,10.5,11.5,12.5
55,신한라이프,신한 BIGDream 주택담보대출,원리금균등상환,고정금리,6.01,6.41,6.21,LTV 70%,100000000000,100000000000,ㅇ 인지세(50%씩 당사와 고객이 부담),"ㅇ중도상환대출금 x 수수료율 x (대출잔여일수/대출기간)
ㅇ최초1년간 대출금액의 50%이내 면제",적용금리+3% (최고연체이자율: 18%),영업점,30.0,2.0,일반,6.01,6.110000000000000,6.21,6.3100000000000000,6.41
56,한국씨티은행,씨티주택담보대출,원리금균등상환,고정금리,5.26,6.9,6.0,LTV 30% ~70%,100000000000,100000000000,ㅇ 인지세 : 해당세액의 50%,"ㅇ중도상환대출금 x 수수료율 x (대출잔여일수/대출기간)
ㅇ최초1년간 대출금액의 50%이내 면제",적용금리+3% (최고연체이자율: 18%),영업점,30.0,2.0,일반,5.26,5.67,6.08,6.49,6.9
57,IBK저축은행,아파트 담보대출,원리금균등상환,고정금리,6.5,22.0,14.25,LTV 70%,100000000000,100000000000,ㅇ 인지세 : 해당세액 × 50% (대출금액 5천만원 이하시 없음),ㅇ중도상환금액×2%×(대출잔여일수÷대출기간 총일수),적용금리+3% (최고연체이자율: 18%),"영업점,스마트폰",30.0,2.0,일반,6.5,10.375,14.25,18.125,22.0
58,키움저축은행,아파트(가계자금-원리금분할)대출,원리금균등상환,고정금리,7.9,11.8,9.85,LTV 70% 이내,100000000000,100000000000,ㅇ 인지세의 50%,ㅇ중도상환금액×2%×(대출잔여일수÷대출기간 총일수),적용금리+3% (최고연체이자율: 18%),"영업점,스마트폰",30.0,2.0,일반,7.9,8.875,9.850000000000000,10.825000000000000,11.8
59,드림저축은행,아파트담보대출,원리금균등상환,고정금리,7.5,20.0,13.75,LTV 70%,100000000000,100000000000,ㅇ 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음),ㅇ중도상환금액×2%×(대출잔여일수÷대출기간 총일수),적용금리+3% (최고연체이자율: 15%),스마트폰,30.0,2.0,일반,7.5,10.625,13.75,16.875,20.0
60,KDB생명,아파트담보대출,원리금균등상환,고정금리,6.04,7.34,6.69,LTV 70%,100000000000,100000000000,"ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권매입비용 : 대출금액 X 120% X 1% X 채권할인율","ㅇ1년이내 상환시 2%, 2년이내 상환시 1.5%, 3년이내 상환시 1%
ㅇ* 중도상환금액 X 중도상환 수수료율 X (부과기간 잔여일수/부과기간)",적용금리+3% (최고연체이자율: 18%),"영업점,인터넷,스마트폰,모집인",30.0,2.0,일반,6.04,6.365,6.6900000000000000,7.015,7.34
61,고려저축은행,아파트담보대출,원리금균등상환,고정금리,7.6,12.4,10.0,LTV 70%,100000000000,100000000000,"ㅇ 대출금 5천만원까지는 수입인지 비용이 없으며, 5천만원 초과시 대출금액별 수입인지 비용 차등 부과ㅇ 채권할인료, 말소비용",ㅇ중도상환금액x2%x(대출잔여일수÷대출기간 총일수),적용금리+3% (최고연체이자율: 20%),기타,30.0,2.0,일반,7.6,8.8,10.0,11.2,12.4
62,한성저축은행,일반자금대출,원리금균등상환,고정금리,7.5,9.0,8.25,LTV 70% 이내,100000000000,100000000000,"ㅇ 인지세:5천이하(비과세),   - 5천초과 시 고객부담(50%), ㅇ 주택채권매입비용",ㅇ중도상환금액 × 수수료율 × 중도상환잔여일수/약정기간,적용금리+3% (최고연체이자율: 18%),"영업점,인터넷,스마트폰,모집인",30.0,2.0,일반,7.5,7.875,8.25,8.625,9.0
63,The-K저축은행,일반자금대출,원리금균등상환,고정금리,9.0,12.0,10.5,LTV 70%,100000000000,100000000000,ㅇ 인지세 : 대출금액별 해당세액 × 50%(대출금액 5천만원 이하시 없음),ㅇ중도상환금액 × 수수료율 × 중도상환잔여일수/약정기간,적용금리+3% (최고연체이자율: 18%),"영업점,인터넷,스마트폰,모집인",30.0,2.0,일반,9.0,9.75,10.5,11.25,12.0
64,대한저축은행,일반자금대출(주택담보대출),원리금균등상환,고정금리,7.0,11.0,9.0,LTV 70%,100000000000,100000000000,ㅇ 인지세 : 해당세액 * 50% (대출금액 5천만원 이하시 없음),ㅇ중도상환금액 × 수수료율 × 중도상환잔여일수/약정기간,적용금리+3% (최고연체이자율: 18%),"영업점,인터넷,스마트폰,모집인",30.0,2.0,일반,7.0,8.0,9.0,10.0,11.0
65,아주저축은행,주택담보대출,원리금균등상환,고정금리,8.85,13.0,10.92,LTV 70%,100000000000,100000000000,"ㅇ 주택채권매입비, 인지세, 말소비용",ㅇ중도상환금액 × 수수료율 × 중도상환잔여일수/약정기간,적용금리+3% (최고연체이자율: 18%),"영업점,스마트폰",30.0,2.0,일반,8.85,9.8875,10.925,11.9625,13.0
66,아산저축은행,주택담보대출,원리금균등상환,고정금리,8.0,12.0,10.0,LTV 70%,100000000000,100000000000,ㅇ 인지대:고객 50%부담(5천만원이하 면제),ㅇ중도상환금액×[1%~2%]×(대출잔여일수÷대출기간 총일수),적용금리+3% (최고연체이자율: 11%),"영업점,스마트폰",30.0,2.0,일반,8.0,9.0,10.0,11.0,12.0
67,부림저축은행,주택담보대출,원리금균등상환,고정금리,6.52,15.0,10.76,LTV 70% 이내 (최대 10억원),100000000000,100000000000,"ㅇ 인지세:고객과 저축은행이 각50%씩 부담(5천만원이하는 인지세 없음)ㅇ 근저당권관련비용: 국민주택채권매입비,법무사 수수료",ㅇ중도산환금액*중도상환수수료율(연0~2%)*대출잔여일수/대출기간총일수,적용금리+3% (최고연체이자율: 15%),기타,30.0,2.0,일반,6.52,8.64,10.76,12.880000000000000,15.0
68,센트럴저축은행,주택담보대출,원리금균등상환,고정금리,7.5,16.0,11.75,최대 8억원,100000000000,100000000000,"ㅇ 인지세 : 고객, 금융회사 50%씩 부담 (5,000만원 이하는 해당사항없음)",ㅇ중도산환금액*중도상환수수료율(연0~2%)*대출잔여일수/대출기간총일수,적용금리+3% (최고연체이자율: 15%),"영업점,스마트폰",30.0,2.0,일반,7.5,9.625,11.75,13.875,16.0
69,DH저축은행,주택담보대출,원리금균등상환,고정금리,9.0,10.5,9.75,LTV 70%,100000000000,100000000000,ㅇ 인지세 : 해당세액 × 50%(대출금액 5천만원 미만시 없음),ㅇ중도산환금액*중도상환수수료율(연0~2%)*대출잔여일수/대출기간총일수,적용금리+3% (최고연체이자율: 18%),영업점,30.0,2.0,일반,9.0,9.375,9.75,10.125,10.5
70,인천저축은행,주택담보대출,원리금균등상환,고정금리,11.0,21.0,16.0,담보별 가용가 범위내,100000000000,100000000000,ㅇ 인지세 : 해당 세액 × 50%,ㅇ중도산환금액*중도상환수수료율(연0~2%)*대출잔여일수/대출기간총일수,적용금리+3% (최고연체이자율: 18%),영업점,30.0,2.0,일반,11.0,13.5,16.0,18.5,21.0
71,국제저축은행,주택담보대출,원리금균등상환,고정금리,9.29,10.99,10.14,LTV 30% ~70%,100000000000,100000000000,ㅇ 인지세 : 해당금액의 고객과 은행이 각각 1/2부담(5천만원 이하 면제),ㅇ중도산환금액*중도상환수수료율(연0~2%)*대출잔여일수/대출기간총일수,적용금리+3% (최고연체이자율: 18%),"영업점,인터넷,스마트폰,모집인",30.0,2.0,일반,9.29,9.715,10.14,10.565,10.99
72,NH농협생명,주택담보대출,원리금균등상환,고정금리,5.78,5.78,5.78,LTV 70%,100000000000,100000000000,ㅇ 인지세 : 해당세액의 50%,ㅇ중도산환금액*중도상환수수료율(연0~2%)*대출잔여일수/대출기간총일수,적용금리+3% (최고연체이자율: 18%),"영업점,인터넷,스마트폰,모집인",30.0,2.0,일반,5.78,5.78,5.78,5.78,5.78
73,OK저축은행,주택담보대출,원리금균등상환,고정금리,7.5,12.5,10.0,LTV 70%,100000000000,100000000000,ㅇ 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음),ㅇ중도산환금액*중도상환수수료율(연0~2%)*대출잔여일수/대출기간총일수,적용금리+3% (최고연체이자율: 18%),"영업점,인터넷,스마트폰,모집인",30.0,2.0,일반,7.5,8.75,10.0,11.25,12.5
74,오성저축은행,주택담보대출,원리금균등상환,고정금리,6.5,9.0,7.75,LTV 70%,100000000000,100000000000,ㅇ 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음),"ㅇ1년이내 : 중도상환금액*2.0%*대출잔여일수/대출기간 총일수
ㅇ2년이내 : 중도상환금액*1.5%*대출잔여일수/대출기간 총일수
ㅇ 3년이내 : 중도상환금액*1.0%*대출잔여일수/대출기간 총일수",적용금리+3% (최고연체이자율: 11%),기타,30.0,2.0,일반,6.5,7.125,7.75,8.375,9.0
75,푸른저축은행,주택담보대출,원리금균등상환,고정금리,9.8,13.0,11.4,최대 8억원,100000000000,100000000000,"ㅇ 인지세의 50%,
ㅇ 주택채권매입비용",ㅇ중도상환금액×2%×대출잔여일수/약정기간,적용금리+3% (최고연체이자율: 15%),"영업점,스마트폰",30.0,2.0,일반,9.8,10.600000000000000,11.4,12.2,13.0
76,세람저축은행,주택담보대출,원리금균등상환,고정금리,7.0,15.0,11.0,LTV 70% 이내 (최대 10억원),100000000000,100000000000,ㅇ 인지세 : 해당세액의 50%,ㅇ중도상환금액×2%×대출잔여일수/약정기간,적용금리+3% (최고연체이자율: 18%),"영업점,스마트폰",30.0,2.0,일반,7.0,9.0,11.0,13.0,15.0
77,신한저축은행,주택담보대출,원리금균등상환,고정금리,8.7,21.0,14.85,LTV 70%,100000000000,100000000000,ㅇ 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음),ㅇ중도상환금액×2%×대출잔여일수/약정기간,적용금리+3% (최고연체이자율: 18%),"영업점,스마트폰",30.0,2.0,일반,8.7,11.775000000000000,14.85,17.925,21.0
78,스마트저축은행,주택담보대출,원리금균등상환,고정금리,6.3,8.5,7.4,TV 40% 이내,100000000000,100000000000,ㅇ 인지세 : 해당세액 × 50%(대출금액 5천만원 미만시 없음),ㅇ중도상환금액×2%×대출잔여일수/약정기간,적용금리+3% (최고연체이자율: 18%),"영업점,스마트폰",30.0,2.0,일반,6.3,6.85,7.4,7.95,8.5
79,키움예스저축은행,주택담보대출,원리금균등상환,고정금리,7.5,18.0,12.75,LTV 70%,100000000000,100000000000,ㅇ 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음),ㅇ중도상환금액×2%×(대출잔여일수÷대출기간 총일수),적용금리+3% (최고연체이자율: 18%),"영업점,모집인",30.0,2.0,일반,7.5,10.125,12.75,15.375,18.0
80,삼성생명,주택담보대출 (일반형),원리금균등상환,고정금리,5.99,8.2,6.6,LTV 70%,100000000000,100000000000,"ㅇ 인지세(50%)
ㅇ 채권매입비용","ㅇ중도상환금액 X 2% X 중도상환수수료부과잔존일수 ㅇ중도상환수수료 총 부과일수(대출원금의 50%까지 상환수수료 면제)",적용금리+3% (최고연체이자율: 18%),"영업점,인터넷,스마트폰,모집인",30.0,2.0,일반,5.99,6.5425,7.095,7.647500000000000,8.2
81,페퍼저축은행,페퍼홈론,원리금균등상환,고정금리,6.9,10.39,8.64,LTV 70%,100000000000,100000000000,"ㅇ 인지세의 50%, 선순위 말소 비용, 국민주택채권 할인료(설정시)","ㅇ중도상환금액 X 2% X 중도상환수수료부과잔존일수 ㅇ중도상환수수료 총 부과일수(대출원금의 50%까지 상환수수료 면제)",적용금리+3%,기타,30.0,2.0,일반,6.9,7.772500000000000,8.645,9.5175,10.39
82,하나저축은행,하나로아파트 담보대출,원리금균등상환,고정금리,8.36,9.39,8.88,TV 40% 이내,100000000000,100000000000,"ㅇ 인지세 : 고객, 금융회사 50%씩 부담 (5,000만원 이하는 해당사항없음)","ㅇ중도상환금액 X 2% X 중도상환수수료부과잔존일수 
ㅇ중도상환수수료 총 부과일수(대출원금의 50%까지 상환수수료 면제)",적용금리+3% (최고연체이자율: 18%),"영업점,모집인",30.0,2.0,일반,8.36,8.6175,8.875,9.1325,9.39
83,한화손해보험,한화아파트론15,원리금균등상환,고정금리,6.16,7.36,6.76,담보별 가용가 범위내,100000000000,100000000000,"ㅇ 인지세 50% ㅇ 국민주택채권 매입비용","ㅇ중도상환금액 × 2% × (수수료부과 잔여일수/3년)
ㅇ단, 대출금액의 30% 면제 (매년 10% 범위내)",적용금리+3% (최고연체이자율: 18%),"영업점,스마트폰",30.0,2.0,일반,6.16,6.46,6.76,7.0600000000000000,7.36
84,한화손해보험,한화아파트론16,원리금균등상환,고정금리,6.16,7.76,6.96,담보별 가용가 범위내,100000000000,100000000000,"ㅇ 인지세 50% ㅇ 국민주택채권 매입비용","ㅇ중도상환금액 × 2% × (수수료부과 잔여일수/3년)
ㅇ단, 대출금액의 30% 면제 (매년 10% 범위내)",적용금리+3% (최고연체이자율: 18%),"영업점,스마트폰",30.0,2.0,일반,6.16,6.5600000000000000,6.96,7.360000000000000,7.76
85,OSB저축은행,해피홈론,원리금균등상환,고정금리,7.25,12.35,9.8,LTV 70%,100000000000,100000000000,"ㅇ 인지세 : 해당금액의 고객과 은행이 각각 1/2부담(5천만원 이하 면제) 
ㅇ 근저당권 설정 시 채권할인료 / 근저당권 해지 수수료(상환)","ㅇ중도상환금액x 2% x 대출잔여일수/대출기간
ㅇ3년 경과 후 : 없음",적용금리+3% (최고연체이자율: 18%),스마트폰,30.0,2.0,일반,7.25,8.525,9.8,11.075,12.35
86,한화생명,행복드림 모기지론,원리금균등상환,고정금리,8.16,9.56,8.0,LTV 70%,100000000000,100000000000,"ㅇ 인지세(50%)  ㅇ 주택채권매입비용",ㅇ기본형(36개월이내 원금상환시 상환금액의 1.5% × 잔존일수 ÷ 36개월) 외 4개 방식,적용금리+3% (최고연체이자율: 18%),"영업점,모집인",30.0,2.0,일반,8.16,8.51,8.86,9.21,9.56
87,NH농협손해보험,헤아림아파트론Ⅱ,원리금균등상환,고정금리,5.7,6.11,5.9,LTV 70%,100000000000,100000000000,ㅇ 인지세 : 해당 세액의 50%,ㅇ기본형(36개월이내 원금상환시 상환금액의 1.5% × 잔존일수 ÷ 36개월) 외 4개 방식,적용금리+3% (최고연체이자율: 18%),"영업점,모집인",30.0,2.0,일반,5.7,5.8025,5.905,6.0075,6.11
88,현대해상,현대GUIDE아파트론,원리금균등상환,고정금리,6.01,7.61,7.0,담보별 가용가 범위내,100000000000,100000000000,ㅇ 인지세 50%,ㅇ기본형(36개월이내 원금상환시 상환금액의 1.5% × 잔존일수 ÷ 36개월) 외 4개 방식,적용금리+3% (최고연체이자율: 18%),"영업점,모집인",30.0,2.0,일반,6.01,6.41,6.8100000000000000,7.21,7.61
89,푸본현대생명,현대라이프 주택담보대출(가계),원리금균등상환,고정금리,7.8,9.65,8.72,최대 8억원,100000000000,100000000000,"ㅇ 인지세 50% ㅇ 주택채권매입비용(실비)",ㅇ기본형(36개월이내 원금상환시 상환금액의 1.5% × 잔존일수 ÷ 36개월) 외 4개 방식,적용금리+3% (최고연체이자율: 18%),"영업점,모집인",30.0,2.0,일반,7.8,8.2625,8.725,9.1875,9.65
90,한화생명,홈드림 모기지론,원리금균등상환,고정금리,6.06,7.76,8.0,LTV 70%,100000000000,100000000000,"ㅇ 인지세(50%)  ㅇ 주택채권매입비용",ㅇ기본형(36개월이내 원금상환시 상환금액의 1.5% × 잔존일수 ÷ 36개월) 외 4개 방식,적용금리+3% (최고연체이자율: 18%),"영업점,모집인",30.0,2.0,일반,6.06,6.485000000000000,6.91,7.335,7.76
91,흥국화재,흥국딴딴아파트,원리금균등상환,고정금리,5.95,6.8,6.38,TV 40% 이내,100000000000,100000000000,ㅇ 인지세: 해당세액의 50%,ㅇ기본형(36개월이내 원금상환시 상환금액의 1.5% × 잔존일수 ÷ 36개월) 외 4개 방식,적용금리+3% (최고연체이자율: 18%),"영업점,모집인",30.0,2.0,일반,5.95,6.1625,6.375,6.5875,6.8
92,SBI저축은행,희망아파트담보대출,원리금균등상환,고정금리,7.75,11.02,9.38,LTV 30% ~70%,100000000000,100000000000,"ㅇ 인지세 : 고객, 금융회사 50%씩 부담 (5,000만원 이하는 해당사항없음)","ㅇ상환금액*2%*대출잔여일수/대출약정기간
ㅇ(단, 중도상환수수료 약정기간은 3년임)",적용금리+3% (최고연체이자율: 18%),"영업점,스마트폰",30.0,2.0,일반,7.75,8.567500000000000,9.385,10.2025,11.02
93,우리은행,신혼부부전용 구입자금,원리금균등상환,고정금리,2.35,3.65,3.0,"다음 중 작은 금액으로 산정
1. 최고 4억원 이내(LTV, DTI 적용)
DTI : 60% 이내
LTV : 80% 이내
단, 2016년 12월 31일까지 신청접수분에 한하여 DTI 60%초과 80%이내인 경우 LTV 60% 적용

2. 매매(분양)가격 이내로 하되, 대출총액은 (본건 내집마련 디딤돌 대출 + 국민주택건설자금 + 중도금대출 + 기금대출)은 매매가격 초과 불가

3. 대출금액 = [(담보주택 평가액 × LTV) – 선순위채권 – 임대보증금 및 최우선변제소액임차보증금]",400000000,600000000,"ㅇ 인지세 : 고객/은행 각 50% 부담

ㅇ 근저당권설정비 : 은행부담(단, 국민주택채권매입 비용은 고객부담)

ㅇ 감정비용 : 고객이 직접 감정평가업자(주택도시보증공사와 협약된 법인에 한함)에 의뢰한 경우는 고객이 부담하며, 가격정보나 국토교통부 공시가격이 없어서 감정하는 경우는 기금이 부담","ㅇ중도상환수수료는 3년 이내에 중도상환된 원금에 대하여 대출실행일로부터 경과일수 별로 1.2% 한도 내에서 부과
ㅇ중도상환수수료 = 중도상환원금 x 중도상환수수료율(1.2%) x [(3년-대출경과일수)/3년]",해당없음,"인터넷, 영업점",30.0,0.0,신혼부부,2.35,2.675,3.0,3.325,3.65
94,우리은행,신혼희망타운전용 주택담보장기대출,원리금균등상환,고정금리,1.6,1.6,1.6,"4억원 이내
* 주택가격×담보인정비율(담보인정비율은 30%에서 70%까지 10%p 단위로 적용)

* 담보인정비율 적용시 대출금액 4억원 초과하는 경우 4억원 한도로 대출 가능",400000000,100000000000,"ㅇ 인지세 : 고객/은행 각 50% 부담

ㅇ 근저당권설정비 : 은행부담(단, 국민주택채권매입 비용은 고객부담)

ㅇ 감정비용 : 대출만기 시 시세감정비용은 은행이 부담하며, 대출기간 중 주택을 매각하거나 대출금을 전액 중도에 상환하는 경우의 시세감정비용은 고객 부담","ㅇ중도상환수수료는 3년 이내에 중도상환된 원금에 대하여 대출실행일로부터 경과일수 별로 1.2% 한도 내에서 부과
ㅇ중도상환수수료 = 중도상환원금 x 중도상환수수료율(1.2%) x [(3년-대출경과일수)/3년]",해당없음,영업점,30.0,0.0,신혼부부희망타운,1.6,1.6,1.6,1.6,1.6
95,우리은행,내집마련디딤돌대출,원리금균등상환,고정금리,2.65,3.95,3.3,"다음 중 작은 금액으로 산정
1. 일반 2.5억원 이내, 생애최초 주택구입자 3억원 이내, 신혼가구 및 2자녀 이상 가구 4억원 이내
- DTI : 60% 이내
- LTV : 70% 이내(생애최초 주택구입자 80% 이내)

2. 매매(분양)가격 이내로 하되, 대출총액은 (본건 내집마련 디딤돌 대출 + 국민주택건설자금 + 중도금대출 + 기금대출)은 매매가격 초과 불가

3. 대출금액 = [(담보주택 평가액 × LTV) – 선순위채권 – 임대보증금 및 최우선변제소액임차보증금]",400000000,500000000,"ㅇ 인지세 : 고객/은행 각 50% 부담

ㅇ 근저당권설정비 : 은행부담(단, 국민주택채권매입 비용은 고객부담)

ㅇ 감정비용 : 고객이 직접 감정평가업자(주택도시보증공사와 협약된 법인에 한함)에 의뢰한 경우는 고객이 부담하며, 가격정보나 국토교통부 공시가격이 없어서 감정하는 경우는 기금이 부담","ㅇ중도상환수수료는 3년 이내에 중도상환된 원금에 대하여 대출실행일로부터 경과일수 별로 1.2% 한도 내에서 부과
ㅇ중도상환수수료 = 중도상환원금 x 중도상환수수료율(1.2%) x [(3년-대출경과일수)/3년]",해당없음,"인터넷, 영업점",30.0,0.0,일반,2.65,2.975,3.3,3.625,3.95
96,우리은행,신생아 특례 디딤돌대출,원리금균등상환,고정금리,1.6,3.3,2.5,"다음 중 작은 금액으로 산정
1. 최고 5억원 이내(LTV, DTI 적용)
DTI : 60% 이내
LTV : 70% 이내(생애최초 주택구입자의 경우 80% 이내)
2. 매매(분양)가격 이내로 하되, 대출총액은 (본건 내집마련 디딤돌 대출 + 국민주택건설자금 + 중도금대출 + 기금대출)은 매매가격 초과 불가
3. 대출금액 = [(담보주택 평가액 × LTV) – 선순위채권 – 임대보증금 및 최우선변제소액임차보증금]",500000000,900000000,"ㅇ 인지세 : 고객/은행 각 50% 부담

ㅇ 근저당권설정비 : 은행부담(단, 국민주택채권매입 비용은 고객부담)

ㅇ 감정비용 : 고객이 직접 감정평가업자(주택도시보증공사와 협약된 법인에 한함)에 의뢰한 경우는 고객이 부담하며, 가격정보나 국토교통부 공시가격이 없어서 감정하는 경우는 기금이 부담","ㅇ중도상환수수료는 3년 이내에 중도상환된 원금에 대하여 대출실행일로부터 경과일수 별로 1.2% 한도 내에서 부과
ㅇ중도상환수수료 = 중도상환원금 x 중도상환수수료율(1.2%) x [(3년-대출경과일수)/3년]",해당없음,"인터넷, 영업점",30.0,0.0,신생아,1.6,2.025,2.45,2.875,3.3